BAG,Pheno - GW/CH,Pheno - CH,Pheno - GW/MLST,Geno - MR/SH,Geno - CE/SH,Geno - MR/EH,Geno - CE/EH,Geno - MR/AC,Geno - CE/AC,Geno - AM/MLST,Geno - MR/MLST,Geno - CE/MLST
FormaLobuloCentral,0.4229448597552,0.620352866452265,0.591657019581208,0.633299730742503,0.38512697918322,0.38512697918322,0.401416833158109,0.406687970237665,0.447029035897448,0.392885891521874,0.468909306771244,0.468349080271388,0.427535357457496
PosicaoPeciolo,0.550075594160548,0.784211411621099,0.82452309010499,0.823825400848283,0.543596359395063,0.543596359395063,0.551263535669635,0.534001343842082,0.455902721229969,0.512152856085345,0.622330712680566,0.652670046843498,0.555788042141055
Sinuosidade,0.973371049309228,0.943876757128791,0.943876757128791,0.987292731578585,0.994863107904857,0.994863107904857,0.999581119266447,1,0.996227148277546,0.965802879510896,0.973025689488177,0.965802879510896,0.948709570224762
ComprEstip,0.580894475119314,0.754406203963658,0.786523517156005,0.754406203963658,0.304046765148333,0.304046765148333,0.278669803563899,0.252148622042011,0.224326960345088,0.351828403500436,0.351828403500436,0.437675126695029,0.417280690670832
HabCrescCaule,0.127295371016215,0.351828403500436,0.374408845348921,0.224326960345088,0.130475716637111,0.130475716637111,0.130475716637111,0.0940844388326735,0.0940844388326735,0.130475716637111,0.163860512869158,0.163860512869158,0.194995709353611
TipoPlan,0.729583290133879,0.819652949412393,0.813523271826788,0.820279094345912,0.623871287719748,0.623871287719748,0.667806499425845,0.661990878267788,0.734020439318587,0.661271025048895,0.68285844453419,0.64580116798829,0.686810121634816
MargEstip,0.302227379571451,0.611345784162599,0.640613096003665,0.596104545883235,0.130475716637111,0.130475716637111,0.194995709353611,0.163860512869158,0.278669803563899,0.351828403500436,0.194995709353611,0.0940844388326735,0.252148622042011
HabRamif,0.736387987180587,0.803957186757661,0.789151020092044,0.772038720700813,0.731551380600024,0.731551380600024,0.712579031141442,0.721341067099034,0.746099290647291,0.76521443585366,0.76672063893713,0.747355059808918,0.749222232344482
NiveisRam,0.975766481835956,0.97930244705973,0.9844407396351,0.973447978214199,0.960520613487615,0.960520613487615,0.956730190353555,0.95152139284295,0.940458419895687,0.979831149757381,0.986606809171692,0.963471110715969,0.980063313183199
ProemCicatrizesFolhas,0.866407557895842,0.979378387914123,0.973025689488177,0.982230929808499,0.731462561721459,0.731462561721459,0.806469143563176,0.825288415630559,0.825288415630559,0.816017297342826,0.806469143563176,0.731462561721459,0.85968407072949
FormaRzs,0.696693624545067,0.835441338352514,0.828238658718,0.834105071811809,0.663975520173201,0.663975520173201,0.734912339388616,0.750698668675919,0.66610636872008,0.640157035691538,0.653648213161517,0.746792628929702,0.697660126519332
TxtEpidermeRzs,0.710917716488231,0.825288415630559,0.843016292521254,0.88994877894241,0.85968407072949,0.85968407072949,0.875319825606542,0.882758678795512,0.796639466548829,0.640613096003665,0.867629311712511,0.875319825606542,0.776116265618875
PresPedunculoRzs,0.894298083044931,0.94477412132533,0.952596522070605,0.966048374140119,0.911331567191617,0.911331567191617,0.895383100234532,0.920656375149423,0.828382144230294,0.885094326124263,0.822835170281287,0.878222551818023,0.883261265525364
PosicaoRzs,0.576569501744122,0.760632162935841,0.777593922252853,0.750780864883463,0.542400258894664,0.542400258894664,0.514849592322556,0.563641797721288,0.570988609326701,0.521742209172823,0.598084148780778,0.520699016699167,0.633319023202756
Flowering,0.865618190004114,0.976310287200458,0.989503514290972,0.998323990113006,0.943876757128791,0.943876757128791,0.928010381900688,0.953317130559817,0.882758678795512,0.816017297342826,0.979378387914123,0.957700940501345,0.961862413990945
DestqPelicRz,0.992642659055279,0.982230929808499,0.982230929808499,0.999057404266386,0.993288141917573,0.993288141917573,0.997380663206337,0.993288141917573,0.999057404266386,0.987292731578585,0.997380663206337,0.999581119266447,0.994863107904857
DestqCortexRz,0.544520265907689,0.785974741162069,0.754118973519116,0.842358587435286,0.482605373315405,0.482605373315405,0.601626030686587,0.617487665017164,0.535319247883585,0.483072784293965,0.597477467926817,0.544885735674872,0.55046471307399
ConstrRzs,0.952428756673666,0.963121586827329,0.95927988299693,0.969319429136347,0.994670235373122,0.994670235373122,0.992495563844602,0.995533557247783,0.970647493980746,0.938996499009957,0.976174895156382,0.987637752901184,0.966720147478995
AnguloRamif,0.614446546299343,0.624917994814652,0.641141159916281,0.61972746341052,0.582009535584581,0.582009535584581,0.600856682977033,0.589046541122626,0.583602580874589,0.574930573659116,0.559660836347841,0.58032620794333,0.552316170382183
